PLZ5;Latitude;Longitude
01067;51,060034;13,721068
01069;51,039559;13,738907
01097;51,066745;13,743967
01099;51,092619;13,82898
01109;51,120101;13,761965
01127;51,07963;13,733347
01129;51,096794;13,72741
01139;51,080557;13,691144
01157;51,064308;13,670805
01159;51,042606;13,700692
01169;51,040255;13,669188
01187;51,02638;13,702666
01189;51,013916;13,704511
01217;51,017144;13,744516
01219;51,022324;13,767051
01237;51,017567;13,799586
01239;51,002683;13,791068
01257;50,996733;13,815985
01259;50,995406;13,850401
01277;51,035869;13,799625
01279;51,026256;13,829359
01307;51,054135;13,772627
01309;51,048649;13,791426
01324;51,065783;13,856535
01326;51,025538;13,860493
01445;51,113632;13,643284
01454;51,13222;13,917478
01458;51,1807;13,845846
01465;51,139198;13,852949
01468;51,16436;13,688086
01471;51,207793;13,733793
01477;51,092043;13,985678
01558;51,289115;13,531573
01561;51,297691;13,635587
01587;51,302642;13,273384
01589;51,29322;13,32805
01591;51,318578;13,247632
01594;51,260284;13,292602
01609;51,393306;13,427627
01612;51,297149;13,410764
01616;51,362777;13,233513
01619;51,369324;13,317557
01623;51,165162;13,297363
01640;51,138759;13,580926
01662;51,16252;13,480631
01665;51,136257;13,448954
01683;51,06247;13,339172
01689;51,183533;13,563535
01705;50,998196;13,638295
01723;51,028413;13,513489
01728;50,982108;13,729137
01731;50,948789;13,759732
01734;50,950137;13,668727
01737;50,966261;13,520104
01738;50,915252;13,51734
01744;50,892119;13,654533
01762;50,816118;13,617842
01768;50,855964;13,764551
01773;50,770186;13,722798
01774;50,890082;13,566953
01776;50,77105;13,662988
01778;50,76507;13,84263
01796;50,937154;13,972073
01809;50,945525;13,844993
01814;50,901918;14,196634
01816;50,829835;13,965614
01819;50,881785;13,980389
01824;50,878826;14,084639
01825;50,86046;13,877521
01829;50,961439;14,010798
01833;51,039679;14,060786
01844;51,035821;14,226992
01847;50,984756;14,018632
01848;50,978839;14,143804
01855;50,938635;14,29502
01877;51,125163;14,204038
01896;51,18252;14,012169
01900;51,144627;14,033758
01904;51,080416;14,327698
01906;51,187141;14,207746
01909;51,108568;14,082077
01917;51,270508;14,111627
01920;51,26935;14,156579
01936;51,292203;13,937885
01945;51,425394;13,879714
01968;51,521134;14,02548
01979;51,503729;13,756505
01983;51,584342;14,051655
01987;51,482848;13,856956
01990;51,385307;13,734737
01993;51,510652;13,88821
01994;51,580537;13,924199
01998;51,542571;13,886368
02625;51,185667;14,436587
